Left Knee Angle, Right Knee Angle, Left Ankle Angle, Right Ankle Angle 
161,143,23,34
171,131,25,29
175,123,27,33
175,121,24,37
176,115,19,37
174,118,19,36
174,120,21,34
174,121,12,34
178,136,16,23
176,145,22,19
175,156,20,12
174,165,23,3
172,161,19,27
172,159,14,22
173,154,13,16
175,150,19,11
177,140,-5,-7
175,152,-5,20
173,160,16,18
171,168,21,2
171,167,14,26
170,176,12,29
169,177,9,31
171,175,8,34
170,176,14,31
174,176,10,30
175,179,-2,28
175,179,0,30
169,177,19,31
158,177,-2,32
156,175,-5,30
147,174,8,2
141,172,8,1
140,170,19,29
136,172,16,26
139,171,-4,29
147,176,0,27
152,175,5,20
159,176,-14,20
166,175,24,22
170,175,21,22
173,173,25,17
174,173,24,17
171,174,28,15
178,174,21,-23
179,174,22,16
176,173,21,17
179,174,23,7
175,168,24,5
176,147,29,17
173,142,2,-48
177,138,-1,-46
177,133,-4,-48
176,133,-8,-45
177,130,-10,20
178,137,35,21
178,140,21,6
175,145,18,16
174,153,18,-14
173,164,17,16
172,173,18,19
171,178,14,27
173,174,-19,24
173,177,-7,22
171,177,11,19
171,177,15,21
174,177,-5,21
164,178,-32,21
165,178,-3,23
156,176,3,22
147,176,-45,23
139,174,-45,23
136,174,-43,19
140,176,20,21
138,176,9,23
146,174,-3,24
145,173,3,22
159,169,20,16
166,171,21,-10
177,172,20,-13
176,172,22,17
171,163,14,-5
176,162,17,1
176,156,17,0
178,154,17,-9
173,151,14,-11
175,150,5,12
174,157,3,13
175,146,0,24
176,144,-2,11
176,137,-5,-47
178,133,-8,-44
179,131,-10,-43
177,137,23,18
175,140,-12,4
173,143,-14,2
171,151,18,13
168,157,-13,18
166,167,37,13
164,176,37,22
